prior=0.6046383	DAOKO×米津玄師
prior=0.6044899	Pharrell Williams
prior=0.6044598	Cardi B Bad Bunny and J Balvin
prior=0.6037766	OneRepublic
prior=0.6037577	草東沒有派對
prior=0.6035099	SEVENTEEN
prior=0.6034672	陳綺貞
prior=0.6034595	謝震廷
prior=0.6032628	蕭煌奇
prior=0.6032586	Jax Jones and Mabel
prior=0.6029534	Sam Smith
prior=0.6027119	Hailee Steinfeld and Grey
prior=0.6026384	鞠文嫻
prior=0.602448	twenty one pilots
prior=0.6024242	吳亦凡
prior=0.6020126	CHEN Baekhyun and XIUMIN
prior=0.6015023	Sigrid
prior=0.6012139	Jessie J
prior=0.6008751	Major Lazer and DJ Snake
prior=0.6005426	Loren Allred
prior=0.600404	Ailee
prior=0.599956	朴樹
prior=0.599879	M 22
prior=0.5998265	Ruel
prior=0.5996102	AOA
prior=0.5993547	Harry Styles
prior=0.5991874	宇宙人
prior=0.5990936	Imagine Dragons
prior=0.599081	Jessie J Ariana Grande and Nicki Minaj
prior=0.5988227	Zara Larsson
prior=0.5988052	李玖哲
prior=0.5987254	方泂鑌
prior=0.5984097	Mike Posner
prior=0.5982382	曲婉婷
prior=0.5979078	Davichi
prior=0.597807	金鐘鉉
prior=0.5977685	LSD
prior=0.59759	張學友
prior=0.5973114	PENTAGON
prior=0.597261	Chainsmokers and Drew Love
prior=0.597261	The Chainsmokers and Drew Love
prior=0.597156	潘瑋柏
prior=0.596925030553	Marshmello
prior=0.5969138	太陽
prior=0.5967976	Louis Tomlinson
prior=0.5963104	EXID
prior=0.5963013	Bazzi
prior=0.5962691	Sons of People
prior=0.5962201	莊心妍
prior=0.5961613	劉若英
prior=0.596106	休 傑克曼 Keala Settle 柴克艾弗 Zendaya and The Greatest Showman Ensemble
prior=0.5959828	Liam Payne and J Balvin
prior=0.5957392	呂薔Amuyi
prior=0.5954207	鄭興
prior=0.5953444	Sean Paul and David Guetta
prior=0.5952688	袁婭維 and Kehlani
prior=0.5952492	Cheat Codes and Little Mix
prior=0.594986	PRODUCE 48
prior=0.5944029	Banx and Ranx and Ella Eyre
prior=0.5943602	Under Lover
prior=0.5943322	Jax Jones
prior=0.5942846	SAM KIM
prior=0.5942615	M O Lotto Boyzz and Mr Eazi
prior=0.5938758	Kygo and Ellie Goulding
prior=0.5935594	Hailee Steinfeld and BloodPop®
prior=0.5934705	Post Malone
prior=0.5934313	梁文音
prior=0.5932297	雷恩 葛斯林 and 艾瑪 史東
prior=0.5931093	Eminem
prior=0.5924513	陶喆
prior=0.5919578	MAMAMOO
prior=0.5918731	黃小琥
prior=0.5918605	Maggie Lindemann
prior=0.5918465	CHUNG HA
prior=0.5915154	Zedd
prior=0.5912669	Juice WRLD
prior=0.5910373	Gummy
prior=0.5910072	Bastille
prior=0.5908077	Calvin Harris and Disciples
prior=0.5906635	關喆
prior=0.5902484	張杰
prior=0.5902106	La La Land Cast
prior=0.5897136	Ariana Grande and The Weeknd
prior=0.589428	少女時代
prior=0.5893664	Ziv Zaifman 休 傑克曼 and 蜜雪兒 威廉絲
prior=0.5891459	LEO37 and SOSS
prior=0.5891207	Beyoncé
prior=0.5890269	Kendrick Lamar SZA
prior=0.5887105	林京燁
prior=0.5886384	汪蘇瀧
prior=0.5882737	Nicky Jam
prior=0.5880742	Idina Menzel
prior=0.5879517	小潘潘
prior=0.587825	The Weeknd Kendrick Lamar
prior=0.587825	Weeknd Kendrick Lamar
prior=0.5877795	阿涵
prior=0.5875982	Skrillex and Diplo
prior=0.5875121	Drake
prior=0.5871523	庾澄慶
prior=0.5870879	HEIZE
prior=0.5869801	George Ezra
prior=0.5868625	陳小春
prior=0.5867904	Seeb and Dagny
prior=0.5866399	宋冬野
prior=0.5865748	Céline Dion
prior=0.5862073	Christina Perri
prior=0.5860309	James Bay
prior=0.5859371	SISTAR
prior=0.5859273	張震嶽
prior=0.5856508	SUPER JUNIOR
prior=0.5855864	休 傑克曼 and 柴克艾弗
prior=0.5855248	Niall Horan
prior=0.5854534	楊乃文
prior=0.5853799	Matteo
prior=0.5853708	Leo王
prior=0.5850271	G Eazy x Bebe Rexha
prior=0.5849298	EXO-CBX
prior=0.5848143	Lasse Lindh
prior=0.5848066	One Direction
prior=0.584633	Matzka
prior=0.5845735	李宗盛
prior=0.5843964	Ariana Grande and John Legend
prior=0.5838952	飛兒樂團
prior=0.5838007	Maisie Peters
prior=0.5837678	校長
prior=0.5837573	韋禮安
prior=0.5834563	PRISTIN V
prior=0.5832064	Meghan Trainor
prior=0.5829866	HYUKOH
prior=0.5829663	GOT7
prior=0.5829488	XXXTENTACION
prior=0.5829341	范瑋琪
prior=0.5827689	ONE OK ROCK
prior=0.5823916	Loco and Punch
prior=0.5821473	A Pink
prior=0.5819716	MAGIC
prior=0.581742	French Montana
prior=0.5816321	泫雅
prior=0.5813696	CLC
prior=0.5813479	樂童音樂家
prior=0.5812331	G Eazy and Halsey
prior=0.5811715	Epik High
prior=0.5811211	王菲
prior=0.5810959	Lorde
