prior=0.7	Taylor Swift
prior=0.577045	Wanna One Triple Position
prior=0.5769995	陈百强
prior=0.5767699	周传雄
prior=0.5767258	鞠文娴
prior=0.57659	Sufjan Stevens
prior=0.5765683	A Great Big World and Christina Aguilera
prior=0.5763758	谭咏麟
prior=0.5762981	周华健
prior=0.5760433	Carly Rae Jepsen
prior=0.5760223	Years and Years
prior=0.5760223	Red Velvet
prior=0.5757871	陈柏宇
prior=0.5753279	Marshmello
prior=0.5752831	Fall Out Boy
prior=0.5748386	鹿先森乐队
prior=0.5747777	SUNMI
prior=0.5746454	周杰伦 and 派伟俊
prior=0.5745516	Rag'n'Bone Man
prior=0.5744949	MOMOLAND
prior=0.5743003	阿桑
prior=0.5742716	刘德华
prior=0.5741169	Martin Garrix and Bebe Rexha
prior=0.5739825	丁世光
prior=0.5738831	陈绮贞
prior=0.5738775	Colbie Caillat
prior=0.5738698	Martin Jensen
prior=0.573853	任然
prior=0.5737704	动力火车
prior=0.5737291	莫文蔚 and 张洪量
prior=0.5737263	Marian Hill
prior=0.573657	CHEN
prior=0.573657	Baekhyun and XIUMIN
prior=0.5736031	阿肆
prior=0.5732629	温岚 and 周杰伦
prior=0.5725356	twenty one pilots
prior=0.5725293	陶喆
prior=0.5724096	方大同
prior=0.5723746	张碧晨
prior=0.5723221	许嵩
prior=0.5722283	张国荣
prior=0.5718601	Beatrich
prior=0.5715619	金玟岐
prior=0.5715395	Kim Taylor
prior=0.5713463	SHINee
prior=0.5711377	张宇
prior=0.5710096	Carly Rae Jepsen and Owl City
prior=0.5709893	Calvin Harris and Disciples
prior=0.5709193	WANNA ONE
prior=0.5706246	林忆莲 and 李宗盛
prior=0.5706008	少女时代
prior=0.5701374	Gotye
prior=0.5699981	5 Seconds of Summer
prior=0.569961	Jax Jones
prior=0.5699498	Usher
prior=0.5698686	张雨生
prior=0.5697713	蔡依林
prior=0.5697657	宋茜
prior=0.5697524	Michael Jackson
prior=0.5696383	Skrillex and Diplo
prior=0.5693492	Martin Garrix and David Guetta
prior=0.5689404	Khalid
prior=0.5686457	Austin Mahone
prior=0.5685568	LONGGUO
prior=0.5685484	苏打绿 and 陈嘉桦
prior=0.5684133	Jason Derulo
prior=0.5682957	马頔
prior=0.5680962	卢巧音
prior=0.5679877	降央卓玛
prior=0.5679352	Kygo and Ellie Goulding
prior=0.5676979	汪苏泷
prior=0.5676559	DAOKO×米津玄師
prior=0.5675544	Ariana Grande and The Weeknd
prior=0.567462	南宫嘉骏
prior=0.5673283	Westlife
prior=0.5671043	AGA
prior=0.5670203	Jack River
prior=0.5669734	Loote
prior=0.566825	刀郎
prior=0.5666682	Bazzi
prior=0.5666227	Bebe Rexha and Florida Georgia Line
prior=0.5663903	薛明媛 and 朱贺
prior=0.5661586	Russ
prior=0.5661264	容祖儿
prior=0.5657428	Post Malone
prior=0.5657414	周兴哲
prior=0.5657057	Kanye West
prior=0.5653011	Tom Walker
prior=0.5650393	George Ezra
prior=0.5649693	李志
prior=0.5648111	胡夏
prior=0.5647754	索诺娅 水野 and Jessica Rothe
prior=0.5647754	艾玛 斯通
prior=0.5647754	Callie Hernandez
prior=0.5647572	Tungevaag and Raaban
prior=0.5643827	新乐尘符
prior=0.5643183	Keala Settle and The Greatest Showman Ensemble
prior=0.5642091	崔健
prior=0.5640495	BOL4
prior=0.563731	Rich Brian
prior=0.563731	88rising
prior=0.563731	Higher Brothers and AUGUST 08
prior=0.563731	Joji
prior=0.5635994	筷子兄弟
prior=0.5635406	Mike Perry
prior=0.5634783	Carpenters
prior=0.5633922	Banx and Ranx and Ella Eyre
prior=0.5633775	ALMA
prior=0.5630366	张韶涵
prior=0.5627545	PRC巴音汗
prior=0.5625641	Soyou
prior=0.5625361	陈慧娴
prior=0.5621287	伏仪
prior=0.5621	eason and the duo band
prior=0.5620657	Dr. Dre
prior=0.562009	DJ Snake and Tiësto
prior=0.5619838	Kungs and Stargate
prior=0.5617591	Matteo
prior=0.5616961	黑豹乐队
prior=0.5616912	Sigala and Ella Eyre
prior=0.5614994	Awaken-F
prior=0.5613468	GALA
prior=0.561323	Little Mix
prior=0.5612845	戴荃
prior=0.5611732	Childish Gambino
prior=0.561057	刘瑞琦
prior=0.561029	Hailee Steinfeld and Grey
prior=0.5608162	毛不易
prior=0.5605999	Nicki Minaj
prior=0.5604039	潘玮柏 and 张韶涵
prior=0.5602177	Macklemore and Ryan Lewis
prior=0.5601813	Justin Hurwitz
prior=0.560154	陈冠希
prior=0.5599951	范玮琪
prior=0.5598285	James Bay
prior=0.5596241	Kelly Clarkson
prior=0.5595919	M 22
prior=0.5594155	汪峰
prior=0.5591859	郑中基
prior=0.5589185	Louis Tomlinson
prior=0.558691	王杰
prior=0.5583403	戴佩妮
prior=0.5583249	Julia Michaels
prior=0.5582185	Avril Lavigne
prior=0.5582003	EXO-CBX
prior=0.5579686	Jax Jones and Mabel
prior=0.5578958	Hozier
prior=0.5577866	飞儿乐团
prior=0.5574135	王若琳
prior=0.5573659	MACO
prior=0.5571629	Luis Fonsi
prior=0.5569277	VAVA
prior=0.5568451	Vicetone
prior=0.556626	BLACKPINK
prior=0.5565868	Sigrid
prior=0.5565315	鹿晗
prior=0.5563971	卢广仲
prior=0.5562592	麦浚龙 and 谢安琪
prior=0.5560464	gnash
prior=0.5559225	Kesha
prior=0.5557475	Liam Payne and J Balvin
prior=0.5557125	Alec Benjamin
prior=0.5555998	JAY Z and Alicia Keys
prior=0.5554815	Flo Rida
prior=0.5554717	Sofi Tukker
prior=0.5554353	F4
prior=0.5553639	Mike Posner
prior=0.555352	G Eazy and Halsey
prior=0.5552736	RADWIMPS
prior=0.5552309	The Beatles
prior=0.5552309	Beatles
prior=0.5551273	Sugarland
prior=0.5549726	Soler
prior=0.5549152	李宗盛 and 周华健
prior=0.5547038	谭艳
prior=0.5544616	Rachel Platten
prior=0.5543272	Kungs and Cookin' On 3 Burners
prior=0.5542103	张悬
prior=0.554134	吴若希
prior=0.5539149	WALK THE MOON
prior=0.5537945	胡歌
prior=0.55349	Logic
prior=0.5534711	SUPER JUNIOR
prior=0.5534634	The Chainsmokers and Drew Love
prior=0.553322	Ryan Gosling
prior=0.553266	张学友 and 高慧君
prior=0.5532282	Henry
prior=0.5531785	PRODUCE 48
prior=0.5531708	Martin Solveig
prior=0.5530161	Demi Lovato
prior=0.5530161	Liam Payne and Rita Ora
prior=0.5530028	郭静
prior=0.5528551	辛晓琪
prior=0.5526948	LAY
prior=0.5526675	李玟
prior=0.5525093	Lady Antebellum
prior=0.5524764	Lil Wayne
prior=0.5524764	Wiz Khalifa and Imagine Dragons
prior=0.5521943	Pitbull
prior=0.5519472	Yu Jae Seok and EXO
prior=0.551936	Cheat Codes and Little Mix
prior=0.5519346	Why Don't We
prior=0.5518674	Britney Spears
prior=0.5518443	梁咏琪
prior=0.5518184	Bastille
prior=0.551719	Chris Medina
prior=0.5515671	黄明志
prior=0.5514887	Sean Paul and David Guetta
prior=0.5514628	梁汉文
prior=0.5513354	M O
prior=0.5513354	Lotto Boyzz and Mr Eazi
prior=0.5512766	Rihanna and Kanye West and Paul McCartney
prior=0.5511247	孙盛希
prior=0.5509966	古巨基
prior=0.5508195	Foster the People
prior=0.5505115	G Eazy x Bebe Rexha
prior=0.5505024	Loren Allred
prior=0.550396	Seeb and Dagny
prior=0.5503414	BIGBANG
prior=0.55034	关喆
prior=0.5502707	黎子明
prior=0.5501965	Robbie Williams
prior=0.5501965	Maisie Peters
prior=0.5501636	周柏豪
prior=0.5500978	梅艳芳
prior=0.5500488	Céline Dion
prior=0.5500355	Ariana Grande and John Legend
prior=0.5499508	曹方
prior=0.5497961	J Balvin and Willy William
prior=0.5496428	Nicky Jam and J Balvin
prior=0.5495847	侧田
prior=0.549542	Christina Perri
prior=0.5495238	NF
prior=0.5494601	James Blunt
prior=0.5494559	易烊千玺
prior=0.5494062	Ailee
prior=0.5494006	张敬轩
prior=0.549276	庄心妍
prior=0.5490947	萧亚轩
prior=0.5490282	李易峰
prior=0.5489463	Macklemore
prior=0.5489421	JAY Z
prior=0.5489421	Kanye West and Rihanna
prior=0.5489169	AOA
