prior=0.7	BLACKPINK
prior=0.3651018	The Quiett 육지담 and Yerin Baek
prior=0.3651018	Quiett 육지담 and Yerin Baek
prior=0.3650801	Celeste
prior=0.3650801	Ben Platt and Lin Manuel Miranda
prior=0.3650801	J-Min
prior=0.3650801	橘兒
prior=0.3650591	Larry Goldings Peter Bernstein and Bill Stewart
prior=0.3650591	Katherine Jenkins London Session Orchestra Nicholas Dodd and Crouch End Festival Chorus
prior=0.3650374	Caleb Hyles
prior=0.3650374	鴻敏鴻杰
prior=0.3650157	APOCALYPTICA x VAMPS
prior=0.3650157	Ambient Lounge All Stars
prior=0.3649947	LEEXLEE
prior=0.364973	Alain Planès
prior=0.3649513	Carmen Piazzini
prior=0.3649296	Shing02
prior=0.3649296	José Carreras Plácido Domingo Luciano Pavarotti Orchestra del Teatro dell'Opera di Roma Orchestra del Maggio Musicale Fiorentino and Zubin Mehta
prior=0.3649296	Vicetone and Youngblood Hawke
prior=0.3649296	박민지
prior=0.3649296	DIR EN GREY
prior=0.3649086	Ben Harper
prior=0.3649086	羅綺
prior=0.3649086	Yellow Claw and Sofia Reyes
prior=0.3649086	Sung Si Kyung and 정유미
prior=0.3648869	T ara 더 씨야 F ve Dolls and 스피드
prior=0.3648869	Jeremy Passion
prior=0.3648652	Klemens Schnorr
prior=0.3648652	Dimitri Vegas and Like Mike and Sander van Doorn
prior=0.3648652	Meadows
prior=0.3648652	Ukiyo
prior=0.3648435	Rae Morris
prior=0.3648218	Giorgio Moroder and David Bowie
prior=0.3648218	Jonas Vitaud
prior=0.3648218	Marit Larsen
prior=0.3648008	GING NANG BOYZ
prior=0.3648008	The Vienna State Orchestra and Sir Adrian Boult
prior=0.3648008	Vienna State Orchestra and Sir Adrian Boult
prior=0.3648008	Johnny Tillotson
prior=0.3648008	수빈
prior=0.3648008	김민재
prior=0.3648008	Adam Levy and Norah Jones
prior=0.3648008	BRKNRBTZ
prior=0.3648008	加治ひとみ
prior=0.3647791	吳忠明
prior=0.3647791	Sean Nicholas Savage
prior=0.3647574	林昕陽
prior=0.3647574	Ross Copperman
prior=0.3647357	Heize 캐스퍼 Ash B Hyolyn Gilme 예지 키디비 수아 유빈 and 트루디
prior=0.3647357	毛阿敏 楊燕 張學友 齊秦 齊豫 鍾鎮濤 and 潘越雲
prior=0.3647357	Oliver
prior=0.364714	Audrey Assad
prior=0.364714	Lang Lang A Lin Hungarian Studio Orchestra Jerry Douglas and Peter Illenyi
prior=0.3646923	김동완
prior=0.3646923	Chitose Hajime
prior=0.3646923	Mayson The Soul
prior=0.3646706	Sunghoon
prior=0.3646706	Kedam
prior=0.3646706	허가윤 and HyunA
prior=0.3646706	David Ake
prior=0.3646706	Dakota
prior=0.3646496	Althea Forrest and Togetherness
prior=0.3646496	Au Bonheur des Dames
prior=0.3646496	잔
prior=0.3646496	The Guess Who
prior=0.3646496	Guess Who
prior=0.3646496	Dima Lancaster
prior=0.3646496	Destroyer
prior=0.3646279	Bamberger Symphoniker and Heinz Wallberg
prior=0.3646279	Philip Oakey and Giorgio Moroder
prior=0.3646279	London Symphony Chorus London Symphony Orchestra and Richard Hickox
prior=0.3646279	IAMDDB
prior=0.3646279	Harlœ
prior=0.3646062	Citizen Four
prior=0.3646062	Yo La Tengo
prior=0.3646062	Jean-Michel Pilc
prior=0.3646062	Timothy B Schmit
prior=0.3646062	Clea Vincent
prior=0.3645845	CYN
prior=0.3645845	Nadia Ali
prior=0.3645845	Restaurant Music Academy
prior=0.3645845	Eva Celia
prior=0.3645628	Su Na
prior=0.3645628	Soothing Baby Music
prior=0.3645628	N-Trance
prior=0.3645411	Shigeru Umebayashi and Nathaniel Mechaly
prior=0.3645411	Dev
prior=0.3645411	Bajy and Electrical Haitian Orchestra
prior=0.3645411	Justin Timberlake Three 6 Mafia and Timbaland
prior=0.3645411	Young Ice Sandy Bully Da Bastard a mond and CHIN CHILLA
prior=0.3645194	L'Arpeggiata Christina Pluhar Lucilla Galeazzi and Marco Beasley
prior=0.3645194	Dynamic BLACK
prior=0.3645194	Joe Garston
prior=0.3644977	Lynsey De Paul
prior=0.3644977	Leona Lewis Gavin Greenaway Czech Philharmonic Orchestra and Jirana 'Fun' Williamson
prior=0.3644977	Canon In D Piano
prior=0.3644977	Naughty By Nature
prior=0.3644977	Mc Fioti
prior=0.364476	Bagarre
prior=0.364476	Alex Goot and Jada Facer
prior=0.364476	Karen O
prior=0.364476	Sebastian Sternal
prior=0.364476	Jason Isbell
prior=0.3644543	閃靈
prior=0.3644543	Yoshiki Yoshiki Studio Orchestra and Hideo Hirata
prior=0.3644326	蕭閎仁
prior=0.3644326	The Moonlight Orchestra
prior=0.3644326	Moonlight Orchestra
prior=0.3644326	The Mozart Effect and The Mozart Effect Wind Ensemble
prior=0.3644326	Mozart Effect and The Mozart Effect Wind Ensemble
prior=0.3644102	Louis The Child and Ashe
prior=0.3644102	桃色幸運草Z
prior=0.3644102	丁巧而
prior=0.3643885	羽田
prior=0.3643885	Yanni
prior=0.3643885	Orgel Sound J-Pop
prior=0.3643668	陳麗媚
prior=0.3643668	莊心妍 and 祁隆
prior=0.3643668	The Quiett
prior=0.3643668	Quiett
prior=0.3643451	All That Remains
prior=0.3643234	Marcy Playground
prior=0.3643234	薩頂頂
prior=0.3643234	Sheku Kanneh-Mason
prior=0.3643234	Berliner Philharmoniker Herbert von Karajan and Wiener Singverein
prior=0.3643234	西城秀樹
prior=0.3643017	Matt Nash and Delayers
prior=0.3643017	Kevin Garrett
prior=0.36428	Imad Royal
prior=0.36428	Brian Gonzales Jonathan Schwartz Brandon O'Neill and The Original Broadway Cast of Aladdin
prior=0.36428	wax
prior=0.36428	JO EUN
prior=0.36428	Amy Cervini
prior=0.3642583	Hercules and Love Affair
prior=0.3642583	Kimberly Cole
prior=0.3642583	蔡黃汝
prior=0.3642583	Hillsong 華語
prior=0.3642359	Patty Smyth
prior=0.3642359	Sondr
prior=0.3642359	劉浩龍 藍奕邦 and 黃宗澤
prior=0.3642359	Deep Sleep Music Delta Binaural 432 Hz
prior=0.3642142	Ovan
prior=0.3642142	Laura Mvula
prior=0.3642142	Key Glock
prior=0.3642142	Neha Kakkar Romy and Shashwat Sachdev
prior=0.3641925	Le Concert des Nations and Jordi Savall
prior=0.3641708	Baby Sleep Aid Maestro
prior=0.3641708	MIYAVI vs KenKen
prior=0.3641708	grandson
prior=0.3641708	Academy of St Martin in the Fields and Sir Neville Marriner
prior=0.3641708	Pregnancy Soothing Songs Masters
prior=0.3641708	陳欣斈
prior=0.3641708	大葉奏子
prior=0.3641708	梁紫丹
prior=0.3641484	黃晞澄 夏卓雯 and 黎子諾
prior=0.3641484	Brenda K Starr
prior=0.3641484	Awesome City Club
prior=0.3641484	Slow Magic
prior=0.3641484	Airii Yami
prior=0.3641484	Esther Vallee
prior=0.3641484	센치한 하하
prior=0.3641484	黄英 and 平安
prior=0.3641267	PRhyme
prior=0.3641267	任賢齊 and 陳昇
prior=0.3641267	Mankirt Aulakh
prior=0.3641267	Lang Lang Wiener Philharmoniker and Nikolaus Harnoncourt
prior=0.3641267	Cherry B
prior=0.364105	Carmen Miranda
prior=0.364105	Louis Armstrong and His All Stars
prior=0.364105	TOTEM
prior=0.364105	黎子明
prior=0.3640833	朱碧石
prior=0.3640833	Hook N Sling
prior=0.3640833	LFO
prior=0.3640833	Austin
prior=0.3640833	Dillon
prior=0.3640833	絢香
prior=0.3640833	雷有曜 and 雷有輝
prior=0.3640833	김주나
prior=0.3640833	Neck Deep
prior=0.3640833	Bow Wow
prior=0.3640609	Leikeli47
prior=0.3640609	SYRE
prior=0.3640609	Janusz Olejniczak
prior=0.3640609	Ho Quynh Huong
prior=0.3640392	鄭宜農
prior=0.3640392	biosphere
prior=0.3640392	Nohidea
prior=0.3640392	Hanae
prior=0.3640392	Kurt Hugo Schneider and Aaron Encinas
prior=0.3640175	Luigi Piovano and Archi di Santa Cecilia
prior=0.3640175	Julee Cruise
prior=0.3640175	Max Richter Orchestra and Lorenz Dangel
prior=0.3640175	張信哲 and 潘越雲
prior=0.3640175	章子怡
prior=0.3639951	Gundula Janowitz Hilde Rössel Majdan Waldemar Kmentt Walter Berry Wiener Singverein Berliner Philharmoniker and Herbert von Karajan
prior=0.3639951	張洢豪
prior=0.3639951	Far East Movement and Keri Hilson
prior=0.3639951	Norman Dück
prior=0.3639734	Tomppabeats
prior=0.3639734	KOKIA
prior=0.3639734	九九
prior=0.3639734	Miles Davis Quintet
prior=0.3639734	T Mills
prior=0.3639734	Charly Black
prior=0.3639734	slenderbodies
prior=0.3639517	胡蓓蔚
prior=0.3639517	Joey Purp
prior=0.3639517	陳雪燃
prior=0.3639517	玉萨
prior=0.3639517	Vishal Shekhar Benny Dayal Nazia Hassan and Sunidhi Chauhan
prior=0.3639293	Burial
prior=0.3639293	Willy William
prior=0.3639293	Eazy-E
prior=0.3639076	EDM
prior=0.3639076	陳慧敏 and 小肥
prior=0.3639076	FLIPPER'S GUITAR
prior=0.3638852	Dolla
prior=0.3638635	Xavier Rudd
prior=0.3638635	Adam Jacobs Brian Gonzales Jonathan Schwartz Brandon O'Neill and The Original Broadway Cast of Aladdin
prior=0.3638635	高佩玲 陳澔峰 葉恩婷 and Ivorquent
prior=0.3638635	P Diddy featuring Nicole Scherzinger
prior=0.3638418	Jackal
prior=0.3638418	楊彤
prior=0.3638418	Niska
prior=0.3638194	Mozart Effect The Mozart Effect Orchestra and Shoshana Telner
prior=0.3638194	The Mozart Effect The Mozart Effect Orchestra and Shoshana Telner
prior=0.3638194	Kid Ink Tyga Wale YG and Rich Homie Quan
prior=0.3638194	KISIDA KYODAN and THE AKEBOSI ROCKETS
prior=0.3638194	萬能青年旅店
prior=0.3638194	Kim Junsuck and 정세린
prior=0.3638194	Concerto Köln and René Jacobs
prior=0.3638194	DAVE RODGERS and MEGA NRG MAN
prior=0.3637977	Skizzy Mars
prior=0.3637977	Sandrine PINNA 李千娜 范逸臣 林慶台 趙詠華 舒米恩 魯碧 米非 莊鵑瑛 and 林忠諭
prior=0.3637977	Patricia 林子祥 and 谷祖琳
prior=0.3637753	梁靜茹 and 陳綺貞
prior=0.3637753	GGOTJAM PROJECT
prior=0.3637753	張可盈
prior=0.3637753	Mark Chao
prior=0.3637536	張學友 and 李克勤
prior=0.3637536	BBT
prior=0.3637536	Ookay and Fox Stevenson
prior=0.3637536	A C Newman
prior=0.3637536	王强
prior=0.3637536	拍謝少年
prior=0.3637312	Percy Faith and His Orchestra
prior=0.3637312	Tricky
prior=0.3637312	Hello Stranger
prior=0.3637312	The Avalanches
prior=0.3637312	Avalanches
prior=0.3637095	Cookie Monster
prior=0.3637095	H△G
prior=0.3637095	Jerry Barnes Quiana
prior=0.3637095	Krystian Zimerman Boston Symphony Orchestra and Seiji Ozawa
prior=0.3637095	Jäger
prior=0.3636871	Problem
prior=0.3636871	Sharry Maan and Mista Baaz
prior=0.3636871	張國榮 and 許冠傑
prior=0.3636647	Hayley Kiyoko Naomi Scott Bridgit Mendler and Adam Hicks
prior=0.363643	AJ Rafael
prior=0.363643	English Concert and Trevor Pinnock
prior=0.363643	The English Concert and Trevor Pinnock
prior=0.363643	Jay W McGee
prior=0.363643	Mos Def
prior=0.3636206	Josef Krips and London Symphony Orchestra
prior=0.3636206	The Decemberists
prior=0.3636206	Decemberists
prior=0.3635989	劉界輝
prior=0.3635989	Kanika Kapoor and Meet Bros Anjjan
prior=0.3635989	Whitney Houston and R Kelly
prior=0.3635989	Brian Crain and Rita Chepurchenko
prior=0.3635989	Jubel
prior=0.3635989	Hans Zimmer Camille and Nathan Stornetta
prior=0.3635989	Ludovico Einaudi and Czech National Symphony Orchestra Prague
prior=0.3635989	黃露儀
prior=0.3635765	大原櫻子
prior=0.3635765	大原櫻子 from MUSH Co
prior=0.3635541	London Army Band and Choir
prior=0.3635541	紅迷樂團
prior=0.3635541	Emanuel Ax Leonidas Kavakos and Yo Yo Ma
prior=0.3635541	Henry Mancini and His Orchestra
prior=0.3635541	Frankie Knuckles
prior=0.3635324	김소정 and 덕환
prior=0.3635324	김소정 and 덕환 Deok Hwan
prior=0.3635324	Berliner Philharmoniker and Karl Böhm
prior=0.3635324	Venny
prior=0.3635324	Django Reinhardt
prior=0.3635324	Goofy
prior=0.3635324	Джиган
prior=0.3635324	Piccolo Music
prior=0.3635324	양파
prior=0.3635324	Zamfir
prior=0.3635324	Olivia Noelle
prior=0.36351	The Bonnevilles
prior=0.36351	Bonnevilles
prior=0.36351	Neil Sedaka
prior=0.36351	Yoon Jong Shin 곽진언 and Kim Feel
prior=0.36351	Tiffany Alvord and Future Sunsets
prior=0.36351	蘇丹 大盛君 and 黃聖池
prior=0.36351	TNGHT
prior=0.36351	HardBirds
prior=0.36351	Tina Guo and Budapest Symphony Orchestra
prior=0.3634876	Steve Kuhn and The Gary McFarland Orchestra
prior=0.3634876	Our Last Night
prior=0.3634876	Five Finger Death Punch
prior=0.3634876	Ryan Helsing and Matthew Saltz
prior=0.3634876	John Ottman
prior=0.3634876	Junkie XL
prior=0.3634876	尼克
prior=0.3634659	The Amity Affliction
prior=0.3634659	Amity Affliction
prior=0.3634435	Robbie Williams and Michael Bublé
prior=0.3634435	Kenny Rogers and Dolly Parton
prior=0.3634435	Alicia Keys x Kaskade
prior=0.3634435	The Mighty Mighty Bosstones
prior=0.3634435	Mighty Mighty Bosstones
prior=0.3634435	Dropouts
prior=0.3634211	Alius
prior=0.3634211	The Mozart Effect and The Mozart Effect String Quartet
prior=0.3634211	Mozart Effect and The Mozart Effect String Quartet
prior=0.3633987	羅文 and 甄妮
prior=0.3633987	劉振宇
prior=0.3633987	冷漠 and 云菲菲
prior=0.3633987	Borgeous and DVBBS
prior=0.363377	The Band of the Scots Guards
prior=0.363377	Band of the Scots Guards
prior=0.363377	Miguel Zenón
prior=0.3633546	Bohnes
prior=0.3633546	Sunstroke Project and Olia Tira
prior=0.3633322	Funki Porcini
prior=0.3633322	Phosphorescent
prior=0.3633322	Mila J
prior=0.3633098	James Monroe Iglehart and Adam Jacobs
prior=0.3633098	Dusty
prior=0.3633098	梅艷芳 and 張學友
prior=0.3633098	Wye Oak
prior=0.3633098	HoneyWorks meets TrySail
prior=0.3632874	Moso Calibration
prior=0.3632874	Måns Zelmerlöw
prior=0.3632657	Meek Mill Jhené Aiko and Ludwig Göransson
prior=0.3632657	李雯希
prior=0.3632657	Third Coast Percussion
prior=0.3632433	Shanti Dope
prior=0.3632209	Hilda and Don Diablo
prior=0.3632209	DJ Wegun
prior=0.3632209	Kazimierz Kord Warsaw National Philharmonic Orchestra and Adam Harasiewicz
prior=0.3632209	Homme
prior=0.3631985	I
prior=0.3631985	I Cube
prior=0.3631985	Cube
prior=0.3631985	ICube
prior=0.3631985	Andrew Rannells Josh Gad Rory O'Malley Kevin Duda Clark Johnsen Justin Bohon Brian Sears Scott Barnhardt Benjamin Schrader Lewis Cleale and Jason Michael Snow
prior=0.3631985	Barns Courtney
prior=0.3631985	Mr Saxobeat
prior=0.3631761	The Paul Butterfield Blues Band
prior=0.3631761	Paul Butterfield Blues Band
prior=0.3631761	P.O.D.
prior=0.3631761	趙泳鑫
prior=0.3631537	陳斌
prior=0.3631537	One Voice Children's Choir
prior=0.3631537	Franklin James
prior=0.3631537	Nathan Fake
prior=0.3631537	Visage
prior=0.3631537	The Genius Baby Players
prior=0.3631537	Genius Baby Players
prior=0.3631537	PARRIs
prior=0.3631537	Yo Yo Ma and Patricia Zander
prior=0.3631313	曾素雯
prior=0.3631313	MILI
prior=0.3631313	Gungor
prior=0.3631313	Hardwell and Wildstylez
prior=0.3631089	Yoshie Kashiwabara
prior=0.3631089	Landis
prior=0.3631089	Kid Travis
prior=0.3630865	鹏泊
prior=0.3630865	Adrian Marcel
prior=0.3630865	Elio Villafranca
prior=0.3630865	Mustard and Nick Jonas
prior=0.3630865	Lloyd Banks
prior=0.3630865	Melodyia Music
prior=0.3630865	許佳慧
prior=0.3630641	ンダホ ぺけたん
prior=0.3630641	Arte dei Suonatori
prior=0.3630641	潘秀瓊
prior=0.3630641	The Wannadies
prior=0.3630641	Wannadies
prior=0.3630417	In2it
prior=0.3630417	Sam Tsui Alex G and Casey Breves
prior=0.3630417	Boards of Canada
prior=0.3630417	Jessi and MC그리
prior=0.3630193	Tolan Shaw
prior=0.3630193	Tobu and Marcus Mouya
prior=0.3630193	Peaches and Herb
prior=0.3630193	Mike Stud
prior=0.3629969	Matthew Hall and Meagan Moore
prior=0.3629969	PHANTOM
prior=0.3629969	RedMoon and Meron Ryan
prior=0.3629969	Alfie Boe Danish National Chamber Orchestra and James Morgan
prior=0.3629969	Blac Youngsta
prior=0.3629745	Color Me Badd
prior=0.3629745	Kaci Battaglia and Ludacris
prior=0.3629521	李壽全
prior=0.3629297	Busta Rhymes and Mariah Carey
prior=0.3629297	태진아
prior=0.3629297	The Wind and The Wave
prior=0.3629297	Wind and The Wave
prior=0.3629297	David Fray and Die Deutsche Kammerphilharmonie Bremen
prior=0.3629297	PKCZ®
prior=0.3629297	Enemy
prior=0.3629073	Mokita and Maty Noyes
prior=0.3628849	鄧麗君 毛阿敏 楊燕 張學友 齊秦 齊豫 鍾鎮濤 and 潘越雲
prior=0.3628849	Christina Pluhar and L'Arpeggiata
prior=0.3628625	The Pipes and Drums of the Royal Tank Regiment
prior=0.3628625	Pipes and Drums of the Royal Tank Regiment
prior=0.3628625	Cliff Richard Royal Philharmonic Orchestra and Sarah Brightman
prior=0.3628401	윤채경 and Chaewon
prior=0.3628401	黃霑
prior=0.3628177	Andrew Lloyd Webber José Carreras and Sarah Brightman
prior=0.3628177	Mötley Crüe
prior=0.3628177	鄺美雲 and 羅堅
prior=0.3628177	Veorra
prior=0.3628177	No Name
prior=0.3627722	Dillon Francis and Martin Garrix
prior=0.3627722	Meiko Kaji
prior=0.3627498	James
prior=0.3627498	GAIN and Jeff Bernat
prior=0.3627498	Sehlin 林婉容; Chaurming Shyu 徐潮敏
prior=0.3627274	Uncle Kracker
prior=0.3627274	Common Kings
prior=0.3627274	工藤和真 Soprano
prior=0.3627274	松原凛子
prior=0.3627274	松司馬拓指揮 Ensemble FOVE Tenor
prior=0.3627274	松司馬拓指揮 Ensemble FOVE Tenor 工藤和真 Soprano 松原凛子
prior=0.362705	코리안 팝스 오케스트라
prior=0.362705	Char Ligera Anna Maria Perez de Taglé Alyson Stoner and Demi Lovato
prior=0.362705	Lama Gyurme and Jean Philippe Rykiel
prior=0.3626826	Real Madrid
prior=0.3626826	陳柏全
prior=0.3626826	Julie True
prior=0.3626595	Deep Relax Piano
prior=0.3626595	喬毓明
prior=0.3626595	London Symphony Orchestra and George Richter
prior=0.3626595	SOIL 'PIMP'SESSIONSと椎名林檎
prior=0.3626371	HEYHEY
prior=0.3626371	헤이걸스
prior=0.3626147	Brigitte
prior=0.3626147	EXILE ATSUSHI
prior=0.3626147	M City JR
prior=0.3626147	水野愛日
prior=0.3625923	K Will and Mario
prior=0.3625923	STRFKR
prior=0.3625923	Giraffage
prior=0.3625923	Sarah McKenzie
prior=0.3625692	Tritonal Sj and Tima
prior=0.3625692	Vanessa Benelli Mosell
prior=0.3625692	mysticphonk
prior=0.3625692	Bath Festival Orchestra
prior=0.3625692	Swae Lee
prior=0.3625244	Lady Leshurr
prior=0.3625244	Ship Wrek
prior=0.3625013	Hardy Caprio
prior=0.3625013	Christian Sands
prior=0.3624789	Duke Ellington and John Coltrane
prior=0.3624789	Sebastian Ingrosso and Salvatore Ganacci
prior=0.3624789	Tom Misch and Bearcubs
prior=0.3624789	Chris Young
prior=0.3624565	Emika
prior=0.3624565	Sleep Party People
prior=0.3624565	Nikless and BEFORE WE GO
prior=0.3624565	Zac Efron
prior=0.3624334	Johannes Brahms
prior=0.3624334	MELVV
prior=0.3624334	Raisa
prior=0.3624334	Nana Ou Yang and Jackie Chan
prior=0.362411	KAPORI
prior=0.362411	Gianni Kosta
prior=0.362411	929
prior=0.362411	몽키즈
prior=0.3623879	Dyrisk and Flyboy
prior=0.3623879	New York Jazz Lounge
prior=0.3623879	Robbie Williams and Rupert Everett
prior=0.3623879	Jalen Santoy
prior=0.3623655	Brendan Peyper
prior=0.3623655	Cover Drive
prior=0.3623424	AsapSCIENCE
prior=0.3623424	Nas Dave East Lin Manuel Miranda and Aloe Blacc
prior=0.3623424	John Williams Laurence Cottle Ralph Salmins Harold Fisher Ian Thomas and Chris Laurence Quartet
prior=0.3623424	Anavitória
prior=0.3623424	Patrick Wilson Emmy Rossum and Simon Lee
prior=0.3623424	Trio Zingara
prior=0.3623424	The Mozart Effect
prior=0.3623424	Mozart Effect
prior=0.3623424	아이디
prior=0.36232	one sonic society
prior=0.3622969	Jon Young
prior=0.3622969	Mumm-Ra
prior=0.3622969	Nikolaus Harnoncourt Arnold Schoenberg Chor Erwin Ortner and Concentus Musicus Wien
prior=0.3622745	Marcin Przybylowicz
prior=0.3622745	Noname
prior=0.3622745	Rune RK
prior=0.3622745	李建復
prior=0.3622745	Lang Lang Herbie Hancock John Axelrod and London Symphony Orchestra
prior=0.3622745	Honey Harper
prior=0.3622745	ANOHNI
prior=0.3622514	鄭君綿 and 鄭幗寶
prior=0.3622514	MC그리
prior=0.3622514	Itzhak Perlman Pittsburgh Symphony Orchestra and André Previn
prior=0.362229	Original Paris Swing
prior=0.362229	王大文 and 魏如萱
prior=0.362229	Missy Elliott and Da Brat
prior=0.362229	David Garrett Bulgarian Symphony Orchestra and Ivan Kojouharov
prior=0.362229	Shaper
prior=0.362229	조동희
prior=0.362229	Joe Bean Esposito
prior=0.3622059	Zumba Fitness
prior=0.3622059	超級未來大樂隊
prior=0.3622059	Crystal Castles
prior=0.3622059	Royal Philharmonic Orchestra and Frank Shipway
prior=0.3622059	郭蘅祈
prior=0.3622059	Mithoon and Papon
prior=0.3621835	Marion Raven
prior=0.3621835	Not3s
prior=0.3621835	Bayonne
prior=0.3621835	鄭君綿
prior=0.3621835	JJD
prior=0.3621835	Lauv and Dallas K
prior=0.3621835	顏陌
prior=0.3621835	Khatia Buniatishvili Orchestre de Paris and Paavo Järvi
prior=0.3621835	Doves
prior=0.3621604	하모닉스
prior=0.3621604	Mozart Effect and The Mozart Effect Orchestra
prior=0.3621604	The Mozart Effect and The Mozart Effect Orchestra
prior=0.3621604	Tony Bennett and k d lang
prior=0.3621604	張偉文 and 顏聯武
prior=0.3621604	H Jungle With t
prior=0.3621604	Caron Nightingale
prior=0.362138	Nelly Furtado and Michael Bublé
prior=0.362138	Foy Vance
prior=0.362138	倫永亮 and 呂方
prior=0.3621149	盧冠廷 and 張敬軒
prior=0.3621149	TV on the Radio
prior=0.3621149	Tom Thaler and Basil and Robin Schulz
prior=0.3620918	Jim Brickman and Martina McBride
prior=0.3620918	方伊琪
prior=0.3620918	Lo Fang
prior=0.3620918	Orquesta Lírica de Barcelona and José María Damunt
prior=0.3620918	Michael Jackson and Janet Jackson
prior=0.3620918	전종언
prior=0.3620918	캔들 and Hanhae
prior=0.3620918	Marina Kaye
prior=0.3620918	SORI
prior=0.3620918	부활
prior=0.3620918	方力申 李彩樺 鄧健明 and 林峯
prior=0.3620694	Sukriti Kakar Mannat Noor and Rochak Kohli
prior=0.3620694	小野﨑宏太
prior=0.3620694	Terrace Martin
prior=0.3620694	擊沈女孩
prior=0.3620463	MATZ
prior=0.3620463	Itzhak Perlman Koninklijk Concertgebouworkest and Bernard Haitink
prior=0.3620463	Dwilly
prior=0.3620463	马思唯
prior=0.3620232	黃霑 溫拿樂隊 and 娃娃
prior=0.3620008	House Rulez
prior=0.3620008	Prep
prior=0.3620008	Ophélie Gaillard James Judd and Orchestre Philharmonique De Monte Carlo
prior=0.3620008	Ludovico Einaudi Alberto Martini Antonio Leofreddi and Marco Decimo
prior=0.3619777	男人幫
prior=0.3619777	Brett Dennen
prior=0.3619777	唐朝樂隊
prior=0.3619777	高愷蔚
prior=0.3619546	Megan Nicole and Tiffany Alvord
prior=0.3619546	Evan Wize
prior=0.3619546	디아
prior=0.3619546	家風兒童合唱團
prior=0.3619315	Claude VonStroke
prior=0.3619315	Matteo Bosi
prior=0.3619315	Kina Grannis and Kurt Hugo Schneider
prior=0.3619315	陳浩德
prior=0.3619315	Chip Wickham
prior=0.3619315	Utako
prior=0.3619091	Jonathan Young
prior=0.3619091	Michael Vhayman
prior=0.3619091	Kate Voegele
prior=0.3619091	Alicia Keys and Jimmy Cozier
prior=0.3619091	鄺美雲 and 譚詠麟
prior=0.3619091	Rachel Taylor
prior=0.361886	Lauren Sevian
prior=0.3618629	庾澄慶 and 張信哲
prior=0.3618629	杭蓋樂隊
prior=0.3618629	Cousin Stizz
prior=0.3618629	Shion Miyawaki
prior=0.3618629	Sofia Jannok
prior=0.3618629	Sara Diamond
prior=0.3618629	文千歲 and 李寶瑩
prior=0.3618629	Sonar Pocket
prior=0.3618398	Sandrine PINNA 李千娜 范逸臣 林慶台 趙詠華 舒米恩 魯碧 米非 莊鵑瑛 林忠諭 應蔚民 民雄 and 馬念先
prior=0.3618398	秋紅
prior=0.3618398	Jisung
prior=0.3618174	Brian Eno and Harold Budd
prior=0.3618174	側田 and C AllStar
prior=0.3618174	麻吉弟弟 MACHI DIDI
prior=0.3618174	Tino Coury
prior=0.3617943	Johnny Third
prior=0.3617943	Steerner Blume and Wholm
prior=0.3617943	Ballet Dance Jazz J Company and Ludwig van Beethoven
prior=0.3617943	古天樂 and 李彩華
prior=0.3617943	Benny Goodman and Benny Goodman and His Orchestra
prior=0.3617712	Na Ha Nul
prior=0.3617712	Danny L Harle
prior=0.3617712	丁少華
prior=0.3617712	Caterina Valente and Silvio Francesco
prior=0.3617712	Cults
prior=0.3617481	Nicholas Payton
prior=0.3617481	XXYYXX
prior=0.3617481	Lee Hazlewood
prior=0.3617481	Straight No Chaser
prior=0.3617481	Architects UK
prior=0.361725	Makaveli
prior=0.361725	Porno Graffitti
prior=0.361725	Nick Finzer
prior=0.361725	Rhythm Power
prior=0.361725	Swizz Beatz
prior=0.361725	Jadu Heart and Mura Masa
prior=0.361725	Love X Stereo
prior=0.3617019	志田サマー新井サマー
prior=0.3617019	Helen St. John
prior=0.3617019	Sanseverino
prior=0.3616788	Barbie
prior=0.3616788	서교동의 밤
prior=0.3616788	Nicki Minaj and will i am
prior=0.3616557	Berry Goodman
prior=0.3616557	Raftaar and Payal Dev
prior=0.3616557	野佬 and 蘇浩才
prior=0.3616557	Johannes Mössinger and Joel Frahm
prior=0.3616095	Cyntia
prior=0.3616095	SOLANO and WAO
prior=0.3616095	Sneaker Pimps
prior=0.3616095	ณัฐ ศักดาทร and ต้อล วันธงชัย
prior=0.3615864	선화 and Young Jae
prior=0.3615864	먼데이 키즈
prior=0.3615864	DJ OKAWARI × Emily Styler
prior=0.3615864	Dolly Parton and Kenny Rogers
prior=0.3615633	Fyfe Dangerfield
prior=0.3615633	Benjamin Wallfisch and Sir Edward Elgar
prior=0.3615633	Jake Owen
prior=0.3615402	Don Omar and Lucenzo
prior=0.3615402	M.O.P.
prior=0.3615402	JØD and Meiden
prior=0.3615402	Tallest Man On Earth
prior=0.3615402	The Tallest Man On Earth
prior=0.3615402	The Axis of Awesome
prior=0.3615402	Axis of Awesome
prior=0.3615402	上海華夏民族樂團
prior=0.3615402	Virgoun
prior=0.3615402	BBC Symphony Orchestra and Sir Malcolm Sargent
prior=0.3615171	異種
prior=0.3615171	Base Ball Bear
prior=0.3615171	Amanda Cook
prior=0.361494	Maria Callas Philharmonia Orchestra and Tullio Serafin
prior=0.361494	Belly Squad
prior=0.3614709	Tyler Ward and Anna Clendening
prior=0.3614709	T Rex
prior=0.3614709	Jill Scott
prior=0.3614709	The Chordettes
prior=0.3614709	Chordettes
prior=0.3614709	Keith Jarrett
