prior=0.7	BLACKPINK
prior=0.6006609	Pharrell Williams
prior=0.6006014	SISTAR
prior=0.6002283	盧廣仲
prior=0.60018	蕭敬騰
prior=0.6001492	光良
prior=0.600026	CHEN BAEKHYUN and XIUMIN
prior=0.5999476	陳奕迅 and 王菲
prior=0.5998286	CLC
prior=0.5996676	米津玄師
prior=0.5993099	Rudimental
prior=0.5991902	Kygo and Imagine Dragons
prior=0.5991755	AOA
prior=0.5989186	Rihanna
prior=0.5988311	Carly Rae Jepsen
prior=0.5987807	Gummy
prior=0.5986596	Sam Smith
prior=0.5985168	楊丞琳
prior=0.5982599	Hugh Jackman and Zac Efron
prior=0.598094	Louis Tomlinson
prior=0.5976768	Apink
prior=0.5976334	Rachel Platten
prior=0.59759	Harry Styles
prior=0.5974696	BTOB
prior=0.5972666	Justin Bieber and BloodPop®
prior=0.597156	Zedd
prior=0.5970041	陳僖儀
prior=0.5968508	譚嘉儀
prior=0.596155	Liam Payne
prior=0.5955159	Sons of People
prior=0.5954305	Emma Stone Callie Hernandez Sonoya Mizuno and Jessica Rothe
prior=0.5953948	Ariana Grande and John Legend
prior=0.5951771	Troye Sivan
prior=0.5949559	鄭秀文
prior=0.5947676	Bebe Rexha and Florida Georgia Line
prior=0.59437	SEVENTEEN
prior=0.5942496	GOT7
prior=0.5940634	Jessie J Ariana Grande and Nicki Minaj
prior=0.5939612	Cheat Codes
prior=0.5933585	GD X TAEYANG
prior=0.5932486	Kendrick Lamar SZA
prior=0.5930673	JONGHYUN
prior=0.5928755	David Guetta and Sia
prior=0.5928153	陳慧琳
prior=0.5927985	鄭俊弘
prior=0.5927418	Liam Payne and Rita Ora
prior=0.5924555	One Direction
prior=0.5924163	Idina Menzel
prior=0.5924037	Mad Clown and Kim Na Young
prior=0.5923099	Hailee Steinfeld and Grey
prior=0.5923036	謝霆鋒
prior=0.5921951	Calvin Harris and Disciples
prior=0.5921552	楊宗緯
prior=0.5916176	Martin Garrix and David Guetta
prior=0.5915742	MAGIC
prior=0.5915168	Mike Perry
prior=0.5911871	Ariana Grande and The Weeknd
prior=0.5910198	吳浩康
prior=0.5903639	Kendrick Lamar
prior=0.5901245	DAOKO×米津玄師
prior=0.590051	方力申
prior=0.5899901	Junggigo and Soyou
prior=0.589841	SHINee
prior=0.5898074	Pink
prior=0.5897213	張惠妹
prior=0.5895862	飛兒樂團
prior=0.5894875	Michelle Williams
prior=0.5894609	張國榮
prior=0.5894336	gnash
prior=0.589421	Skrillex and Diplo
prior=0.589358	魏如昀
prior=0.5893265	Hugh Jackman Keala Settle Daniel Everidge Zendaya and The Greatest Showman Ensemble
